palette_index,r,g,b,value
0,247,252,240,1
23,230,245,224,1.94
37,220,242,215,2.96
46,215,239,209,3.89
54,210,237,203,4.95
60,206,236,199,5.93
65,202,234,196,6.89
69,197,232,194,7.78
73,193,231,192,8.77
77,188,229,190,9.9
80,185,228,189,10.84
83,182,226,187,11.86
86,178,225,186,12.99
88,176,224,185,13.79
90,174,223,184,14.65
93,170,222,182,16.04
95,168,221,181,17.03
97,165,220,182,18.09
98,164,219,182,18.65
100,161,218,183,19.81
102,158,217,184,21.04
103,157,217,185,21.68
105,154,216,186,23.03
106,153,215,186,23.74
108,150,214,187,25.21
109,148,214,188,25.99
110,147,213,188,26.78
111,146,213,189,27.6
113,143,211,189,29.32
114,141,211,190,30.22
115,140,210,190,31.14
116,138,210,191,32.09
117,137,209,191,33.08
118,136,209,192,34.09
119,134,208,192,35.13
120,133,208,193,36.21
121,131,207,193,37.32
122,130,207,194,38.46
123,129,206,194,39.64
124,127,206,195,40.85
125,126,205,195,42.1
126,124,205,196,43.39
127,123,204,196,44.72
128,122,203,196,46.09
129,120,202,197,47.5
130,119,202,197,48.96
131,117,201,198,50.46
132,116,200,198,52
133,115,199,199,53.59
134,113,199,199,55.23
135,112,198,200,56.93
136,110,197,200,58.67
137,109,196,201,60.47
138,108,195,201,62.32
139,106,195,202,64.23
140,105,194,202,66.19
141,103,193,203,68.22
142,102,192,203,70.31
143,101,192,204,72.46
144,99,191,204,74.68
145,98,190,204,76.97
146,96,189,205,79.32
147,95,188,205,81.75
148,93,188,206,84.26
149,92,187,206,86.84
150,91,186,207,89.5
151,89,185,207,92.24
152,88,184,208,95.06
153,86,184,208,97.97
154,85,183,209,100.97
155,84,182,209,104.06
156,82,181,210,107.25
157,81,181,210,110.53
158,79,180,211,113.92
159,78,179,211,117.41
160,77,178,210,121
161,76,177,210,124.71
162,75,175,209,128.53
163,74,174,208,132.46
164,73,173,208,136.52
165,71,172,207,140.7
166,70,170,206,145.01
167,69,169,206,149.45
168,68,168,205,154.02
169,67,167,204,158.74
170,66,166,204,163.6
171,65,164,203,168.61
172,64,163,202,173.77
173,63,162,202,179.1
174,62,161,201,184.58
175,61,160,201,190.23
176,59,158,200,196.06
177,58,157,199,202.06
178,57,156,199,208.25
179,56,155,198,214.62
180,55,153,197,221.2
181,54,152,197,227.97
182,53,151,196,234.95
183,52,150,195,242.15
184,51,149,195,249.56
185,50,147,194,257.2
186,48,146,193,265.08
187,47,145,193,273.2
188,46,144,192,281.56
189,45,142,191,290.18
190,44,141,191,299.07
191,43,140,190,308.23
192,42,139,189,317.67
193,41,138,189,327.39
194,40,137,188,337.42
195,39,136,188,347.75
196,38,134,187,358.4
197,36,133,187,369.38
198,35,132,186,380.69
199,34,131,186,392.34
200,33,130,185,404.36
201,32,129,184,416.74
202,31,128,184,429.5
203,30,127,183,442.65
204,29,125,183,456.21
205,28,124,182,470.18
206,27,123,182,484.58
207,26,122,181,499.41
208,24,121,180,514.71
209,23,120,180,530.47
210,22,119,179,546.71
211,21,118,179,563.45
212,20,116,178,580.71
213,19,115,178,598.49
214,18,114,177,616.82
215,17,113,177,635.71
216,16,112,176,655.17
217,15,111,175,675.23
218,13,110,175,695.91
219,12,109,174,717.22
220,11,107,174,739.18
221,10,106,173,761.82
222,9,105,173,785.15
223,8,104,172,809.19
224,8,103,171,833.97
225,8,102,169,859.51
226,8,100,168,885.83
227,8,99,167,912.95
228,8,98,165,940.91
229,8,97,164,969.72
230,8,95,163,999.41
231,8,94,161,1030.02
232,8,93,160,1061.56
233,8,92,159,1094.07
234,8,90,157,1127.57
235,8,89,156,1162.1
236,8,88,155,1197.68
255,0,0,0,99999
